id,url,genre_raw,form_label,title_full,author,book_name,book_id,year,period,text,body_len
klc:ITKC_MO_0002A_0040_020_0290,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0290&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,荒臺麋鹿遊秋草。廢院牛羊下夕陽。,16
klc:ITKC_MO_0002A_0040_020_0300,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0300&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,暮年歸臥松亭下。一抹伽倻望裏靑。,16
klc:ITKC_MO_0002A_0040_020_0310,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0310&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,步得金剛地上說。扶薩鐵圍山間結。苾蒭海印寺講經。雜花從此成三絶。龍堂妙說入龍宮。龍猛能傳龍種功。龍國龍神定歡喜。龍山益表義龍雄。磨羯提城光遍照。遮拘盤國法增耀。今朝慧日出扶桑。認得文殊降東廟。天言秘敎從天授。海印眞詮出海來。好是海隅興海義。只應天意委天才。道樹高談龍樹釋。東林雅志南林譯。斌公彼岸震金聲。何似伽倻繼佛跡。三三廣會數堪疑。十十圓宗義不虧。若說流通推現驗。經來未盡語偏奇。,192
klc:ITKC_MO_0002A_0040_020_0320,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0002A_0040_020_0320&viewSync=KP&viewSync2=TR,詩,general,孤雲先生文集卷之一 / 詩,최치원(崔致遠),고운집(孤雲集),ITKC_MO_0002A,1926.0,final_joseon,終日低頭弄筆端。人人杜口話心難。遠離塵世雖堪喜。爭奈風情未肯闌。影鬪晴霞紅葉逕。聲連夜雨白雲湍。吟魂對 缺 無羈絆。四海深機憶道安。,66
klc:ITKC_MO_0004A_0040_010_0010,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0010&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,銀河杳杳碧霞外。天上神仙今夕會。龍梭聲斷夜機空。烏鵲橋邊促仙馭。相逢才說別離苦。還導明朝又難駐。雙行玉淚洒如泉。一陣金風吹作雨。廣寒仙女練帨涼。獨宿婆娑桂影傍。妬他靈匹一宵歡。深閉蟾宮不放光。赤龍下濕滑難騎。陶安公。七月七日。騎赤龍上天。 靑鳥低霑凝不飛。七月七日。王母使靑鳥至漢殿。 天方向曉汔可霽。恐染天孫雲錦衣。,159
klc:ITKC_MO_0004A_0040_010_0020,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0020&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,去年園上落花叢。今年園上依舊紅。唯有去年花下人。今年花下白髮翁。花枝不減年年好。應笑年年人漸老。春風且暮又卷歸。愼勿對花還草草。我歌君舞足爲歡。人生行樂苦不早。顚狂不顧旁人欺。要使千鍾如電釂。君不見劉郞飮酒趁芳菲。解導風情敵年少。又不見東坡居士簪花老不羞。醉行扶路從人笑。古來得意只酒杯。莫辭對月傾金罍。榮華富貴一笑空。請看魏虎銅雀臺。,168
klc:ITKC_MO_0004A_0040_010_0030,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0030&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,憶昔明皇遊幸日。龍舟錦纜髣江湖。勸歡仙妓廻眸笑。被酒詞臣倒腋扶。自古窮奢難遠馭。幾人懷舊發長吁。頽堤不見滄濤拍。複道渾成碧草蕪。羅綺飄將雲共散。笙歌換作鳥相呼。箇中殷鍳分明在。莫遣遺基掃地無。一作請見遺基半有無。,106
klc:ITKC_MO_0004A_0040_010_0040,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0040&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,簾幕深深樹影廻。幽人睡熟鼾成雷。日斜庭院無人到。唯有風扉自闔開。輕衫小簟臥風櫺。夢斷啼鸎三兩聲。密葉翳花春後在。薄雲漏日雨中明。,64
klc:ITKC_MO_0004A_0040_010_0050,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0050&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,予所居東隣有老巫。日會士女。以淫歌怪舌聞于耳。予甚不悅。歐之無因。會國家有勑。使諸巫遠徒。不接京師。予非特喜東家之淫沃寂然如掃。亦且賀京師之內無復淫詭。世質民淳。將復太古之風。是用作詩以賀之。且明夫此輩若淳且質。則豈見黜于王京哉。乃反託淫巫。以見擯斥。是自招招也。又誰咎哉。爲人臣者亦然。忠以事君。則終身無尤。妖以感衆。則不旋踵見敗。固其理也。昔者巫咸神且奇。競懷椒糈相決疑。自從上天繼者誰。距今漠漠千百朞。肹彭眞禮抵謝羅。靈山路夐又難追。山海經云。天門。日月所入。有靈山。巫肹，巫彭，巫眞，巫禮，巫抵，巫謝，巫羅七巫居之。 沅湘之間亦信鬼。荒淫譎詭尤可嗤。海東此風未掃除。女則爲覡男爲巫。自言至神降我軀。而我聞此笑且吁。如非穴中千歲鼠。當是林下九尾狐。東家之巫衆所惑。面皺鬢斑年五十。士女如雲屐滿戶。磨肩出門騈頸入。喉中細語如鳥聲。𠵘哰無緖緩復急。千言萬語幸一中。騃女癡男益敬奉。酸甘淡酒自飽腹。起躍騰身頭觸棟。緣木爲龕僅五尺。信口自導天帝釋。釋皇本在六天上。肯入汝屋處荒僻。丹靑滿壁盡神像。七元九曜以標額。星官本在九霄中。安能從汝居汝壁。死生禍福妄自推。其能試吾橫氣機。聚窮四方男女食。奪盡天下夫婦衣。我有利劒凜如水。幾廻欲往還復止。只因三尺法在耳。豈爲其神能我祟。東家之巫年迫暮。朝夕且死那能久。我今所念豈此爾。意欲盡逐滌民宇。君不見昔時鄴縣今河沈大巫使絶河伯娶。又不見今時咸尙書坐掃巫鬼。不使暫接虎。此翁逝後又寢興。醜鬼老貍爭復聚。敢賀朝廷有石畫。議逐群巫辭切直。暑名抗牘各自言。此豈臣利誠國益。聰明天子可其奏。朝未及暮如掃迹。爾曹若謂吾術神。變化怳惚應無垠。有聲何不鐍人聽。有形何不緘人盿。章丹陳朱猶謂幻。況復爾曹難隱身。携徒挈黨遠移徒。小臣爲國誠自喜。日游帝城便淸淨。瓦鼓喧聲無我耳。自念爲臣儻如此。誅流配貶固其理。我今幸是忘且晦。得接王京無我駭。凡百士子書諸紳。行身愼勿近淫怪。,796
klc:ITKC_MO_0004A_0040_010_0060,https://db.itkc.or.kr/dir/item?itemId=MO#/dir/node?dataId=ITKC_MO_0004A_0040_010_0060&viewSync=KP&viewSync2=TR,古律詩,gulushi,東國李相國全集卷第二 / 古律詩,이규보(李奎報),동국이상국집(東國李相國集),ITKC_MO_0004A,,unknown,我是老醫能診病。誰爲祟者必麴神。鵝黃五斗晨輕服。此藥傳從劉伯倫。,32
